user_guid,last_5_days_recommend,last_5_days_bought,recommends,bought
500,"[[182, 103, 36], [126, 104, 75], [49, 188, 111], [194, 130, 168], [21, 142, 35]]","[[53, 87, 86, 22], [136, 134, 21, 95], [203, 209, 150, 72], [96, 80, 10, 212], [52, 200, 199, 26]]","[96, 10, 222]","[203, 191, 98]"
501,"[[97, 91, 166], [85, 130, 20], [65, 217, 163], [19, 176, 222], [178, 19, 169]]","[[45], [118], [207], [138], [222]]","[211, 83, 2]","[31, 117, 184]"
502,"[[108, 55, 45], [161, 94, 173], [35, 174, 132], [65, 197, 37], [67, 184, 66]]","[[70, 95, 16, 223, 195], [217, 211, 180, 221, 12], [124, 82, 175, 171, 53], [221, 85, 97, 19, 186], [126, 141, 25, 42, 122]]","[220, 53, 179]",[131]
503,"[[122, 2, 0], [12, 45, 107], [162, 101, 100], [74, 11, 179], [16, 212, 65]]","[[212, 70], [84, 145], [196, 90], [202, 167], [87, 219]]","[218, 5, 188]",[205]
504,"[[182, 52, 195], [150, 54, 96], [168, 102, 4], [203, 146, 111], [61, 88, 210]]","[[90, 39, 4], [40, 119, 149], [125, 179, 208], [212, 90, 43], [176, 200, 98]]","[67, 35, 174]","[52, 69, 21, 14, 2]"
505,"[[26, 135, 96], [46, 11, 14], [21, 92, 17], [193, 78, 150], [77, 133, 7]]","[[159, 52], [111, 105], [74, 148], [212, 73], [160, 174]]","[82, 219, 63]","[219, 51]"
506,"[[137, 218, 190], [93, 161, 68], [164, 55, 150], [131, 49, 206], [134, 8, 128]]","[[73, 112, 148], [2, 97, 101], [105, 6, 129], [216, 207, 45], [167, 23, 196]]","[9, 120, 67]",[190]
507,"[[215, 140, 175], [89, 165, 221], [143, 183, 214], [138, 107, 111], [110, 72, 45]]","[[105, 199, 175, 85, 32], [7, 179, 47, 217, 161], [114, 175, 108, 152, 109], [68, 146, 135, 218, 0], [156, 52, 4, 46, 72]]","[55, 65, 46]","[141, 66, 207, 80, 139]"
508,"[[102, 65, 9], [203, 87, 159], [108, 29, 1], [91, 173, 153], [46, 5, 49]]","[[101, 90, 49, 108], [16, 45, 38, 196], [166, 99, 177, 37], [99, 148, 59, 160], [196, 16, 222, 144]]","[118, 161, 11]","[32, 195, 65]"
509,"[[126, 194, 161], [58, 194, 220], [43, 19, 26], [155, 33, 115], [16, 41, 126]]","[[99], [10], [203], [87], [45]]","[131, 105, 106]",[]
510,"[[12, 136, 85], [120, 133, 18], [204, 153, 55], [205, 119, 59], [15, 24, 190]]","[[212, 22, 149], [152, 164, 87], [107, 106, 130], [218, 82, 97], [147, 98, 109]]","[170, 145, 128]","[189, 112, 22, 144, 98]"
511,"[[82, 148, 193], [122, 88, 83], [177, 23, 34], [88, 72, 44], [131, 22, 64]]","[[13, 166, 124, 5], [146, 34, 27, 36], [125, 221, 91, 12], [188, 6, 173, 80], [180, 61, 154, 134]]","[83, 149, 133]","[9, 27, 170, 158, 167]"
512,"[[203, 179, 77], [176, 2, 87], [21, 79, 120], [9, 95, 192], [170, 64, 172]]","[[92, 108], [138, 147], [194, 222], [191, 189], [71, 139]]","[180, 194, 123]","[73, 14, 4, 51, 48]"
513,"[[4, 60, 198], [54, 129, 38], [210, 34, 199], [64, 76, 17], [179, 77, 59]]","[[], [], [], [], []]","[37, 184, 4]",[206]
514,"[[146, 132, 104], [219, 120, 133], [203, 7, 175], [42, 112, 164], [67, 77, 13]]","[[13, 167, 18, 25], [138, 52, 110, 195], [147, 114, 31, 211], [189, 100, 48, 94], [97, 50, 99, 207]]","[165, 8, 200]","[164, 210, 116, 50, 97]"
515,"[[162, 71, 199], [30, 154, 7], [137, 216, 132], [160, 1, 57], [37, 140, 79]]","[[137, 134, 164], [11, 76, 162], [71, 36, 171], [33, 78, 28], [73, 41, 111]]","[195, 130, 8]","[85, 154, 29, 164, 163]"
516,"[[144, 106, 33], [73, 162, 16], [205, 145, 201], [52, 15, 44], [217, 205, 53]]","[[153, 122, 184], [20, 25, 192], [9, 62, 198], [120, 135, 138], [151, 196, 51]]","[177, 94, 132]","[148, 137, 95, 133, 52]"
517,"[[198, 108, 3], [92, 181, 10], [67, 71, 177], [142, 53, 74], [159, 68, 99]]","[[126, 16, 166, 168], [121, 85, 68, 180], [158, 5, 90, 209], [103, 135, 188, 85], [147, 104, 118, 123]]","[25, 122, 211]","[129, 47, 222, 30]"
518,"[[101, 99, 80], [45, 80, 154], [173, 58, 80], [162, 23, 88], [88, 20, 45]]","[[189, 133, 95, 218], [185, 165, 23, 216], [209, 117, 123, 131], [119, 81, 111, 51], [51, 43, 63, 180]]","[111, 122, 117]","[104, 211, 153]"
519,"[[223, 57, 101], [170, 67, 178], [183, 174, 196], [199, 36, 98], [64, 103, 30]]","[[], [], [], [], []]","[142, 26, 95]",[]
520,"[[95, 134, 49], [19, 14, 10], [219, 84, 45], [87, 123, 10], [213, 81, 19]]","[[40, 205, 179], [39, 45, 170], [206, 62, 89], [71, 200, 21], [135, 187, 67]]","[222, 220, 158]","[218, 122, 160, 215]"
521,"[[102, 13, 196], [5, 56, 45], [34, 142, 203], [221, 20, 143], [203, 38, 35]]","[[117], [185], [101], [175], [65]]","[33, 8, 143]","[171, 136, 75, 131]"
522,"[[115, 19, 143], [124, 152, 217], [219, 114, 171], [76, 145, 62], [192, 64, 34]]","[[], [], [], [], []]","[161, 92, 183]",[]
523,"[[156, 175, 122], [4, 95, 41], [38, 87, 129], [161, 25, 20], [94, 194, 101]]","[[1, 90, 83, 92], [5, 142, 27, 67], [25, 220, 118, 78], [189, 7, 93, 156], [202, 212, 20, 21]]","[122, 60, 32]",[]
524,"[[137, 175, 45], [131, 65, 121], [188, 72, 15], [187, 171, 38], [65, 140, 43]]","[[74, 158], [180, 104], [178, 61], [194, 98], [131, 188]]","[170, 223, 95]",[]
525,"[[20, 71, 109], [84, 192, 54], [121, 110, 132], [98, 46, 41], [88, 34, 165]]","[[117, 9], [112, 84], [124, 150], [205, 98], [214, 173]]","[27, 204, 154]","[17, 65, 108, 72, 160]"
526,"[[113, 81, 72], [110, 183, 89], [152, 94, 159], [126, 6, 186], [3, 87, 193]]","[[107, 68, 100, 176], [8, 215, 175, 162], [0, 200, 48, 102], [2, 135, 162, 55], [100, 116, 75, 192]]","[202, 222, 71]",[]
527,"[[114, 182, 98], [29, 169, 8], [122, 1, 77], [142, 78, 163], [74, 113, 72]]","[[154, 191], [223, 67], [117, 71], [87, 128], [61, 46]]","[162, 189, 215]","[210, 23, 64, 3]"
528,"[[221, 104, 138], [4, 224, 210], [144, 131, 8], [177, 126, 174], [45, 116, 22]]","[[198, 73], [189, 50], [176, 192], [223, 67], [12, 103]]","[81, 113, 74]","[93, 98, 159, 17, 207]"
529,"[[126, 43, 132], [41, 92, 218], [213, 21, 154], [78, 132, 46], [95, 120, 28]]","[[], [], [], [], []]","[201, 12, 202]",[86]
530,"[[154, 160, 185], [74, 34, 19], [67, 178, 223], [147, 102, 9], [104, 10, 193]]","[[101], [57], [20], [34], [75]]","[155, 64, 136]","[176, 3, 55]"
531,"[[139, 137, 81], [159, 182, 2], [35, 13, 92], [63, 124, 206], [11, 141, 221]]","[[202, 175, 110, 55], [67, 103, 16, 191], [113, 137, 61, 176], [187, 106, 215, 1], [208, 25, 197, 65]]","[49, 26, 58]","[113, 195]"
532,"[[4, 179, 109], [62, 144, 85], [186, 157, 73], [5, 72, 22], [52, 140, 37]]","[[211], [213], [196], [137], [128]]","[207, 21, 20]","[141, 138, 74]"
533,"[[68, 79, 34], [107, 153, 46], [115, 82, 103], [134, 211, 189], [57, 34, 127]]","[[50, 213, 63], [187, 168, 61], [5, 129, 2], [100, 52, 125], [202, 99, 188]]","[72, 202, 137]","[47, 209, 219, 26]"
534,"[[153, 14, 174], [77, 42, 66], [46, 160, 89], [46, 66, 106], [155, 85, 16]]","[[69, 54, 163, 80, 206], [79, 115, 47, 95, 27], [208, 58, 113, 52, 38], [126, 207, 201, 49, 159], [29, 85, 197, 0, 211]]","[69, 223, 88]",[155]
535,"[[132, 181, 54], [117, 42, 49], [73, 72, 78], [49, 148, 94], [32, 92, 97]]","[[], [], [], [], []]","[185, 83, 132]","[195, 71, 149, 174]"
536,"[[222, 114, 123], [105, 1, 157], [26, 172, 185], [204, 150, 81], [119, 127, 153]]","[[153, 220, 83, 199], [13, 95, 184, 63], [176, 108, 211, 19], [185, 211, 65, 23], [11, 67, 85, 83]]","[94, 174, 186]","[54, 195, 210]"
537,"[[206, 213, 28], [149, 14, 209], [214, 87, 141], [163, 30, 144], [177, 132, 129]]","[[68, 171, 64], [83, 205, 161], [33, 78, 71], [160, 196, 175], [98, 186, 160]]","[65, 84, 4]",[23]
538,"[[77, 48, 100], [58, 169, 130], [122, 77, 210], [209, 197, 121], [107, 25, 124]]","[[], [], [], [], []]","[124, 45, 114]",[]
539,"[[107, 35, 95], [196, 113, 152], [169, 57, 147], [161, 141, 123], [220, 39, 174]]","[[153, 126], [158, 69], [148, 214], [216, 47], [119, 121]]","[200, 164, 93]",[203]
540,"[[116, 122, 133], [10, 216, 150], [154, 151, 81], [144, 65, 83], [87, 215, 41]]","[[202, 81, 136, 18, 117], [150, 28, 152, 165, 21], [121, 28, 67, 163, 189], [8, 93, 18, 48, 15], [31, 0, 214, 153, 56]]","[136, 93, 98]","[142, 29, 32, 189, 120]"
541,"[[31, 143, 104], [148, 72, 131], [221, 84, 158], [214, 177, 72], [118, 215, 203]]","[[11, 7, 138, 77], [136, 157, 71, 118], [91, 62, 25, 45], [196, 2, 66, 138], [64, 123, 151, 135]]","[10, 137, 8]","[47, 135, 174, 106]"
542,"[[3, 1, 89], [82, 109, 211], [46, 138, 116], [145, 2, 214], [120, 78, 118]]","[[182, 110, 112, 25, 163], [205, 38, 68, 216, 21], [7, 26, 159, 65, 156], [76, 211, 154, 180, 45], [97, 146, 206, 168, 133]]","[189, 96, 72]","[11, 202]"
543,"[[13, 53, 48], [143, 148, 161], [45, 18, 224], [94, 112, 121], [160, 143, 169]]","[[], [], [], [], []]","[138, 205, 214]","[98, 141, 27]"
544,"[[214, 129, 50], [159, 20, 110], [29, 52, 127], [121, 124, 138], [160, 200, 3]]","[[219, 118, 47], [187, 3, 92], [200, 115, 76], [49, 160, 189], [184, 0, 176]]","[62, 125, 9]",[164]
545,"[[176, 87, 192], [149, 22, 92], [19, 29, 194], [65, 129, 183], [129, 89, 108]]","[[118], [198], [75], [188], [81]]","[153, 123, 157]",[]
546,"[[199, 111, 160], [87, 163, 109], [26, 187, 136], [79, 214, 158], [216, 121, 91]]","[[201, 111, 108], [167, 54, 194], [124, 134, 81], [61, 189, 76], [66, 81, 101]]","[187, 113, 56]",[]
547,"[[115, 89, 165], [213, 1, 156], [124, 101, 41], [63, 57, 14], [71, 210, 209]]","[[], [], [], [], []]","[32, 75, 134]","[146, 40, 147, 198, 212]"
548,"[[124, 19, 53], [195, 148, 6], [55, 28, 194], [192, 26, 100], [48, 191, 159]]","[[111, 2, 154, 191, 214], [101, 36, 135, 164, 16], [202, 65, 20, 111, 102], [33, 50, 146, 83, 30], [113, 220, 201, 221, 99]]","[221, 162, 7]",[177]
549,"[[207, 215, 216], [184, 94, 193], [62, 68, 129], [26, 133, 198], [15, 191, 113]]","[[], [], [], [], []]","[203, 117, 129]",[]
550,"[[36, 50, 141], [191, 177, 198], [164, 124, 219], [89, 26, 148], [191, 35, 220]]","[[71], [22], [149], [114], [11]]","[46, 213, 9]",[]
551,"[[74, 40, 198], [108, 212, 77], [36, 87, 140], [2, 153, 200], [14, 201, 17]]","[[197], [197], [20], [84], [148]]","[219, 67, 119]","[93, 105, 109, 140, 114]"
552,"[[59, 51, 102], [86, 8, 156], [138, 48, 65], [216, 124, 31], [71, 62, 50]]","[[169], [100], [57], [49], [83]]","[195, 60, 57]","[136, 132]"
553,"[[111, 138, 189], [114, 88, 56], [172, 199, 144], [207, 146, 124], [126, 196, 29]]","[[], [], [], [], []]","[116, 42, 56]","[209, 163, 192]"
554,"[[169, 43, 26], [152, 213, 184], [14, 214, 21], [209, 167, 80], [31, 22, 208]]","[[198, 201], [43, 21], [91, 149], [164, 20], [187, 58]]","[189, 214, 1]","[213, 127]"
555,"[[116, 198, 24], [48, 216, 215], [35, 141, 16], [66, 221, 2], [49, 70, 165]]","[[], [], [], [], []]","[73, 69, 176]",[]
556,"[[33, 205, 7], [98, 171, 48], [181, 64, 107], [157, 21, 14], [144, 55, 76]]","[[125], [118], [165], [6], [89]]","[178, 159, 104]","[208, 67, 175, 18, 125]"
557,"[[167, 20, 82], [63, 224, 133], [5, 99, 124], [123, 213, 211], [112, 120, 152]]","[[88, 177, 196], [223, 96, 122], [56, 174, 145], [223, 63, 131], [12, 129, 122]]","[119, 125, 175]","[219, 33, 5, 4, 82]"
558,"[[201, 200, 127], [76, 93, 19], [51, 150, 123], [1, 77, 78], [218, 137, 35]]","[[143, 131, 42, 23], [176, 115, 38, 50], [146, 164, 183, 219], [200, 73, 42, 132], [130, 105, 188, 46]]","[109, 60, 210]","[166, 63, 3, 66]"
559,"[[154, 221, 168], [59, 79, 25], [117, 12, 179], [104, 82, 13], [15, 179, 32]]","[[3], [218], [60], [75], [56]]","[180, 117, 184]",[]
560,"[[144, 166, 99], [176, 12, 194], [155, 175, 151], [217, 221, 20], [166, 140, 189]]","[[41], [53], [105], [157], [214]]","[151, 28, 205]","[80, 53, 202]"
561,"[[12, 121, 216], [216, 74, 194], [207, 62, 219], [183, 81, 210], [144, 160, 102]]","[[], [], [], [], []]","[43, 84, 6]","[55, 119, 1]"
562,"[[65, 222, 16], [7, 43, 105], [142, 30, 158], [163, 98, 128], [148, 116, 137]]","[[120, 50], [190, 142], [130, 23], [123, 214], [112, 203]]","[145, 196, 222]","[69, 47, 72, 218]"
563,"[[102, 190, 91], [120, 165, 128], [82, 116, 12], [41, 197, 49], [12, 152, 173]]","[[184, 59, 53, 86], [102, 209, 177, 84], [190, 204, 148, 91], [150, 134, 1, 197], [215, 191, 101, 126]]","[31, 175, 8]","[163, 96, 69, 89]"
564,"[[69, 141, 24], [67, 55, 130], [132, 190, 65], [57, 3, 40], [60, 43, 4]]","[[], [], [], [], []]","[113, 192, 29]","[2, 36]"
565,"[[74, 8, 27], [8, 68, 91], [114, 137, 12], [82, 61, 206], [203, 96, 19]]","[[], [], [], [], []]","[24, 110, 28]","[13, 78, 52, 220, 165]"
566,"[[25, 38, 189], [89, 205, 98], [56, 132, 112], [122, 108, 184], [182, 113, 112]]","[[], [], [], [], []]","[207, 156, 75]","[137, 136, 188, 70, 224]"
567,"[[14, 148, 199], [34, 37, 208], [57, 81, 47], [131, 224, 26], [168, 193, 198]]","[[], [], [], [], []]","[195, 217, 160]","[134, 11, 82, 14, 99]"
568,"[[209, 122, 160], [41, 1, 50], [80, 105, 84], [167, 223, 204], [187, 222, 221]]","[[], [], [], [], []]","[199, 51, 209]","[218, 113, 33, 76]"
569,"[[211, 70, 136], [168, 99, 40], [212, 81, 222], [67, 164, 16], [3, 192, 144]]","[[], [], [], [], []]","[102, 108, 67]","[186, 177, 96, 123]"
570,"[[158, 177, 108], [142, 59, 200], [16, 8, 48], [118, 56, 2], [197, 20, 202]]","[[124, 162, 20, 53], [122, 160, 139, 1], [221, 33, 189, 206], [104, 179, 135, 122], [99, 89, 26, 188]]","[157, 10, 36]","[44, 83, 126, 89]"
571,"[[112, 149, 157], [167, 146, 3], [219, 48, 41], [19, 36, 196], [128, 183, 180]]","[[48, 151, 148, 144, 209], [39, 75, 5, 176, 224], [3, 108, 224, 194, 42], [58, 210, 113, 151, 158], [167, 42, 155, 221, 36]]","[195, 33, 147]",[]
572,"[[86, 161, 189], [129, 42, 30], [44, 81, 92], [35, 147, 86], [222, 106, 87]]","[[26, 182, 177], [198, 173, 40], [34, 106, 47], [10, 57, 124], [203, 128, 149]]","[9, 46, 21]","[63, 88, 215, 201, 4]"
573,"[[66, 5, 67], [58, 60, 132], [196, 93, 35], [174, 120, 181], [203, 169, 3]]","[[204], [64], [37], [6], [41]]","[71, 73, 168]","[174, 152, 195]"
574,"[[101, 115, 61], [221, 125, 112], [220, 214, 162], [38, 168, 217], [155, 125, 83]]","[[], [], [], [], []]","[175, 74, 44]","[210, 47, 222, 114]"
575,"[[47, 219, 56], [136, 198, 196], [125, 182, 211], [42, 188, 115], [222, 127, 58]]","[[190], [112], [60], [81], [98]]","[212, 178, 17]","[116, 205, 12, 115]"
576,"[[146, 108, 9], [9, 42, 138], [108, 45, 69], [173, 57, 45], [80, 63, 89]]","[[22], [30], [81], [119], [117]]","[211, 207, 166]","[3, 79, 62, 82]"
577,"[[95, 204, 117], [109, 156, 37], [223, 194, 75], [25, 191, 88], [172, 187, 98]]","[[204, 114, 168, 95, 146], [75, 209, 81, 117, 199], [209, 146, 108, 35, 131], [149, 104, 202, 113, 86], [126, 131, 145, 87, 107]]","[103, 89, 131]",[]
578,"[[23, 120, 101], [122, 5, 17], [199, 163, 16], [76, 15, 215], [108, 187, 63]]","[[20, 212], [53, 158], [99, 32], [87, 132], [81, 113]]","[16, 178, 121]","[21, 96, 14, 105]"
579,"[[138, 29, 181], [152, 51, 140], [224, 149, 24], [87, 148, 14], [194, 178, 170]]","[[220], [11], [161], [173], [211]]","[4, 183, 90]",[]
580,"[[67, 90, 199], [152, 50, 174], [67, 153, 76], [125, 63, 206], [35, 40, 191]]","[[48], [35], [29], [136], [102]]","[103, 29, 8]",[223]
581,"[[204, 207, 144], [77, 106, 204], [150, 191, 174], [1, 37, 165], [175, 214, 105]]","[[39, 29, 56, 102], [173, 104, 102, 8], [54, 64, 48, 176], [54, 72, 99, 4], [14, 32, 169, 207]]","[204, 141, 54]","[51, 106]"
582,"[[214, 172, 120], [145, 151, 196], [183, 66, 99], [92, 25, 52], [158, 182, 91]]","[[], [], [], [], []]","[163, 210, 108]","[173, 17]"
583,"[[156, 14, 105], [29, 40, 95], [94, 150, 164], [207, 9, 16], [123, 17, 42]]","[[184, 1, 185, 73], [194, 76, 85, 23], [34, 179, 119, 215], [27, 123, 73, 189], [44, 210, 152, 110]]","[60, 138, 74]","[51, 128, 112]"
584,"[[138, 101, 115], [213, 190, 21], [159, 174, 215], [108, 213, 51], [10, 131, 37]]","[[222, 131], [67, 145], [25, 190], [219, 135], [10, 212]]","[216, 81, 133]","[25, 66, 123]"
585,"[[11, 154, 3], [43, 126, 172], [37, 146, 2], [68, 116, 139], [36, 197, 7]]","[[200, 49, 70], [21, 58, 74], [67, 76, 30], [5, 173, 57], [49, 182, 181]]","[5, 36, 79]",[]
586,"[[194, 182, 188], [39, 172, 187], [81, 115, 7], [167, 181, 144], [133, 115, 6]]","[[219], [164], [214], [14], [74]]","[2, 200, 214]","[86, 39]"
587,"[[183, 145, 220], [186, 27, 78], [55, 97, 139], [143, 204, 86], [27, 131, 36]]","[[209, 23, 180, 32, 189], [11, 174, 17, 103, 129], [209, 165, 45, 64, 80], [178, 124, 106, 93, 29], [102, 115, 13, 171, 147]]","[193, 9, 8]","[52, 202, 11, 112]"
588,"[[90, 178, 106], [94, 116, 199], [83, 141, 119], [25, 47, 102], [220, 223, 224]]","[[], [], [], [], []]","[25, 17, 75]","[2, 210, 90, 125, 137]"
589,"[[143, 149, 132], [132, 60, 162], [46, 127, 210], [159, 173, 89], [103, 76, 182]]","[[100, 5], [12, 59], [99, 142], [166, 113], [151, 79]]","[208, 57, 187]","[107, 38]"
590,"[[151, 145, 69], [38, 196, 125], [91, 128, 217], [6, 80, 220], [55, 11, 94]]","[[138], [14], [144], [188], [18]]","[14, 126, 52]","[107, 52, 17]"
591,"[[135, 191, 186], [181, 224, 180], [41, 216, 65], [193, 126, 133], [151, 75, 98]]","[[37], [61], [7], [54], [34]]","[70, 204, 203]","[4, 59, 206, 13]"
592,"[[48, 141, 15], [2, 191, 119], [207, 10, 17], [31, 64, 198], [9, 22, 99]]","[[], [], [], [], []]","[45, 147, 111]","[103, 6, 194]"
593,"[[177, 91, 192], [98, 105, 204], [50, 94, 61], [188, 212, 162], [49, 36, 150]]","[[214, 204, 95, 216], [211, 14, 215, 158], [204, 170, 65, 78], [175, 67, 122, 22], [120, 168, 83, 47]]","[7, 8, 55]",[183]
594,"[[161, 184, 170], [120, 222, 175], [111, 218, 163], [117, 106, 171], [33, 218, 125]]","[[108, 140, 150], [54, 26, 106], [56, 18, 175], [171, 141, 165], [140, 158, 194]]","[137, 50, 1]","[72, 82, 176, 148]"
595,"[[151, 209, 156], [140, 144, 147], [85, 10, 55], [125, 174, 222], [64, 195, 2]]","[[69], [177], [224], [100], [49]]","[74, 208, 196]","[118, 113]"
596,"[[193, 171, 33], [41, 75, 188], [204, 191, 176], [181, 21, 192], [186, 151, 181]]","[[50, 220, 17, 200, 148], [44, 34, 73, 200, 160], [49, 207, 128, 146, 1], [53, 4, 155, 52, 217], [133, 182, 195, 77, 55]]","[77, 198, 140]","[180, 129, 211, 187]"
597,"[[84, 120, 148], [26, 28, 209], [34, 116, 140], [131, 78, 37], [153, 133, 179]]","[[], [], [], [], []]","[165, 87, 126]",[]
598,"[[96, 83, 69], [79, 205, 162], [188, 66, 69], [187, 215, 195], [20, 197, 118]]","[[217, 111, 114, 143], [0, 203, 21, 45], [8, 51, 6, 84], [89, 218, 59, 120], [193, 223, 46, 134]]","[71, 141, 66]",[]
599,"[[199, 149, 11], [93, 88, 118], [207, 111, 216], [160, 5, 206], [164, 53, 121]]","[[], [], [], [], []]","[99, 219, 187]",[]
